user_activity,environmental_brightness,theme,layout,font_size,preference,informativness,readability,likert_sum,binarized_output
STILL,5,withImages,dark-theme,largeCards,small-font,1,1,1,3,0
STILL,5,withImages,dark-theme,largeCards,small-font,1,1,1,3,0
STILL,5,withImages,dark-theme,largeCards,large-font,1,2,1,4,0
STILL,5,withImages,dark-theme,largeCards,large-font,1,2,1,4,0
STILL,5,withImages,dark-theme,largeCards,large-font,1,2,1,4,0
ON_FOOT,30,withImages,light-theme,largeCards,small-font,2,2,2,6,1
STILL,8,withImages,dark-theme,xLargeCards,small-font,2,2,2,6,1
STILL,8,withImages,dark-theme,xLargeCards,small-font,2,2,2,6,1
STILL,206,withImages,dark-theme,xLargeCards,small-font,1,2,1,4,0
STILL,223,withImages,dark-theme,xLargeCards,small-font,1,2,2,5,0
STILL,182,withImages,light-theme,xLargeCards,large-font,2,2,2,6,1
STILL,194,withImages,light-theme,xLargeCards,small-font,2,2,2,6,1
STILL,97,withImages,light-theme,xLargeCards,large-font,2,2,2,6,1
STILL,102,withImages,light-theme,xLargeCards,large-font,2,2,2,6,1
STILL,90,withImages,light-theme,xLargeCards,large-font,2,2,2,6,1
STILL,0,withImages,dark-theme,xLargeCards,small-font,2,2,2,6,1
STILL,0,withImages,dark-theme,xLargeCards,large-font,-1,0,0,-1,0
STILL,0,withImages,dark-theme,largeCards,large-font,-1,1,-1,-1,0
ON_FOOT,13,withImages,dark-theme,xLargeCards,large-font,2,2,2,6,1
ON_FOOT,3,withImages,dark-theme,xLargeCards,large-font,2,2,2,6,1
ON_FOOT,6,withImages,light-theme,largeCards,small-font,2,0,0,2,0
ON_FOOT,0,withImages,dark-theme,xLargeCards,large-font,2,2,2,6,1
ON_FOOT,0,withImages,dark-theme,xLargeCards,large-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,small-font,1,1,1,3,0
STILL,0,withImages,dark-theme,largeCards,small-font,1,1,2,4,0
STILL,0,withImages,dark-theme,xLargeCards,small-font,1,1,1,3,0
STILL,222,withImages,light-theme,xLargeCards,small-font,2,2,2,6,1
STILL,208,withImages,light-theme,xLargeCards,small-font,2,2,2,6,1
STILL,70,withImages,light-theme,xLargeCards,large-font,0,1,0,1,0
STILL,26,withImages,light-theme,largeCards,small-font,2,2,2,6,1
STILL,26,withImages,light-theme,largeCards,small-font,2,2,2,6,1
STILL,26,withImages,light-theme,largeCards,large-font,2,2,2,6,1
STILL,12,withImages,dark-theme,xLargeCards,large-font,1,1,2,4,0
STILL,0,withImages,dark-theme,xLargeCards,large-font,1,1,1,3,0
STILL,3,withImages,dark-theme,xLargeCards,large-font,1,1,1,3,0
STILL,51,withImages,dark-theme,xLargeCards,small-font,2,1,2,5,0
IN_VEHICLE,19,withImages,light-theme,largeCards,large-font,2,1,2,5,0
IN_VEHICLE,13,withImages,light-theme,xLargeCards,large-font,-1,0,0,-1,0
STILL,17,withImages,light-theme,largeCards,large-font,2,2,2,6,1
STILL,16,withImages,light-theme,largeCards,large-font,2,2,2,6,1
STILL,69,withImages,light-theme,largeCards,large-font,1,2,2,5,0
STILL,104,withImages,dark-theme,xLargeCards,large-font,2,2,1,5,0
ON_FOOT,0,withImages,dark-theme,xLargeCards,large-font,2,1,2,5,0
ON_FOOT,19,withImages,light-theme,largeCards,small-font,-1,-1,-2,-4,0
IN_VEHICLE,6,withImages,light-theme,xLargeCards,small-font,0,1,-1,0,0
STILL,0,withImages,light-theme,xLargeCards,small-font,-1,-1,1,-1,0
STILL,0,withImages,dark-theme,xLargeCards,large-font,2,1,2,5,0
STILL,0,withImages,dark-theme,xLargeCards,small-font,2,2,1,5,0
STILL,0,withImages,dark-theme,xLargeCards,small-font,2,2,2,6,1
STILL,4,withImages,light-theme,largeCards,large-font,2,2,2,6,1
STILL,51,withImages,light-theme,largeCards,small-font,2,1,1,4,0
STILL,32,withImages,light-theme,largeCards,large-font,2,2,2,6,1
STILL,21,withImages,dark-theme,largeCards,large-font,2,2,1,5,0
STILL,53,withImages,light-theme,largeCards,small-font,2,2,2,6,1
STILL,55,withImages,light-theme,largeCards,small-font,2,2,2,6,1
STILL,14,withImages,light-theme,xLargeCards,large-font,2,1,2,5,0
STILL,38,withImages,dark-theme,largeCards,large-font,1,1,2,4,0
STILL,16,withImages,light-theme,xLargeCards,large-font,2,2,2,6,1
STILL,17,withImages,light-theme,xLargeCards,large-font,2,2,2,6,1
STILL,27,withImages,light-theme,largeCards,small-font,1,1,1,3,0
STILL,17,withImages,light-theme,largeCards,small-font,1,1,1,3,0
STILL,0,withImages,dark-theme,xLargeCards,small-font,2,1,1,4,0
STILL,0,withImages,dark-theme,xLargeCards,large-font,2,2,1,5,0
STILL,9,withImages,dark-theme,largeCards,large-font,1,1,2,4,0
STILL,26,withImages,dark-theme,largeCards,large-font,1,2,1,4,0
STILL,15,withImages,light-theme,xLargeCards,small-font,2,2,2,6,1
STILL,14,withImages,light-theme,xLargeCards,small-font,1,1,2,4,0
STILL,11,withImages,light-theme,xLargeCards,large-font,2,2,1,5,0
STILL,16,withImages,light-theme,xLargeCards,large-font,2,2,2,6,1
STILL,13,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
STILL,12,withImages,light-theme,largeCards,small-font,1,2,2,5,0
STILL,30,withImages,light-theme,largeCards,large-font,2,2,2,6,1
STILL,2,withImages,dark-theme,xLargeCards,large-font,1,1,2,4,0
ON_FOOT,2,withImages,dark-theme,xLargeCards,large-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,large-font,2,2,1,5,0
STILL,0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,small-font,1,2,2,5,0
STILL,0,withImages,dark-theme,largeCards,small-font,1,2,2,5,0
STILL,0,withImages,dark-theme,largeCards,large-font,2,2,1,5,0
STILL,3,withImages,light-theme,largeCards,large-font,2,2,2,6,1
STILL,2,withImages,light-theme,largeCards,large-font,2,2,2,6,1
STILL,3,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
STILL,7,withImages,light-theme,largeCards,small-font,2,1,2,5,0
IN_VEHICLE,74,withImages,light-theme,largeCards,small-font,1,1,1,3,0
ON_FOOT,313,withImages,light-theme,largeCards,small-font,1,1,2,4,0
ON_FOOT,335,withImages,dark-theme,xLargeCards,large-font,1,1,1,3,0
ON_FOOT,153,withImages,dark-theme,xLargeCards,large-font,0,0,1,1,0
IN_VEHICLE,155,withImages,light-theme,largeCards,small-font,0,0,0,0,0
IN_VEHICLE,324,withImages,light-theme,largeCards,small-font,0,0,1,1,0
ON_FOOT,7960,withImages,light-theme,largeCards,small-font,2,0,0,2,0
ON_FOOT,7375,withImages,light-theme,xLargeCards,small-font,2,2,2,6,1
IN_VEHICLE,111,withImages,light-theme,largeCards,small-font,1,1,1,3,0
ON_FOOT,355,withImages,light-theme,xLargeCards,small-font,2,2,2,6,1
ON_FOOT,217,withImages,light-theme,largeCards,small-font,1,1,1,3,0
STILL,421,withImages,light-theme,largeCards,small-font,2,2,2,6,1
STILL,394,withImages,light-theme,largeCards,small-font,2,2,1,5,0
ON_FOOT,515,withImages,light-theme,largeCards,small-font,2,2,2,6,1
STILL,564,withImages,light-theme,xLargeCards,small-font,2,1,1,4,0
STILL,418,withImages,light-theme,xLargeCards,small-font,1,1,1,3,0
ON_FOOT,450,withImages,light-theme,largeCards,large-font,2,2,2,6,1
STILL,5653,withImages,light-theme,largeCards,small-font,1,2,2,5,0
STILL,12918,withImages,light-theme,largeCards,small-font,2,2,2,6,1
STILL,2715,withImages,light-theme,largeCards,small-font,2,1,1,4,0
STILL,17,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
ON_FOOT,757,withImages,light-theme,xLargeCards,small-font,2,2,2,6,1
ON_FOOT,765,withImages,light-theme,xLargeCards,small-font,2,2,2,6,1
STILL,6,withImages,dark-theme,largeCards,small-font,0,0,0,0,0
STILL,4,withImages,dark-theme,largeCards,small-font,0,1,1,2,0
STILL,566,withImages,light-theme,xLargeCards,small-font,2,2,2,6,1
IN_VEHICLE,662,withImages,light-theme,xLargeCards,small-font,2,2,2,6,1
IN_VEHICLE,704,withImages,light-theme,xLargeCards,small-font,2,2,2,6,1
ON_FOOT,10,withImages,dark-theme,xLargeCards,small-font,2,2,2,6,1
ON_FOOT,0,withImages,dark-theme,xLargeCards,small-font,2,2,2,6,1
STILL,0,withImages,dark-theme,xLargeCards,large-font,2,1,2,5,0
STILL,57,withImages,dark-theme,xLargeCards,large-font,2,1,1,4,0
STILL,110,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
STILL,285,withImages,dark-theme,xLargeCards,large-font,2,2,2,6,1
STILL,181,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
STILL,240,withImages,dark-theme,largeCards,large-font,-2,-2,-2,-6,0
STILL,240,withImages,dark-theme,xLargeCards,small-font,-2,-2,-2,-6,0
STILL,92,withImages,light-theme,largeCards,large-font,2,2,2,6,1
ON_FOOT,0,withImages,dark-theme,xLargeCards,large-font,2,2,2,6,1
ON_FOOT,0,withImages,dark-theme,xLargeCards,large-font,2,2,1,5,0
STILL,20,withImages,dark-theme,xLargeCards,large-font,1,2,2,5,0
STILL,19,withImages,dark-theme,xLargeCards,large-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
STILL,75,withImages,dark-theme,largeCards,large-font,1,1,1,3,0
STILL,75,withImages,dark-theme,largeCards,large-font,2,2,1,5,0
STILL,2,withImages,light-theme,xLargeCards,large-font,2,2,2,6,1
ON_FOOT,1,withImages,light-theme,xLargeCards,large-font,1,1,1,3,0
STILL,184,withImages,light-theme,xLargeCards,large-font,2,1,2,5,0
STILL,154,withImages,light-theme,xLargeCards,large-font,1,2,2,5,0
STILL,179,withImages,dark-theme,xLargeCards,small-font,1,1,1,3,0
STILL,0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
ON_FOOT,623,withImages,light-theme,xLargeCards,small-font,0,-1,-2,-3,0
ON_FOOT,378,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
IN_VEHICLE,258,withImages,dark-theme,xLargeCards,large-font,-1,0,-1,-2,0
ON_FOOT,139,withImages,dark-theme,largeCards,small-font,1,-1,1,1,0
ON_FOOT,305,withImages,dark-theme,xLargeCards,small-font,-1,-1,-1,-3,0
STILL,33,withImages,light-theme,xLargeCards,small-font,-1,-1,-1,-3,0
ON_FOOT,0,withImages,dark-theme,largeCards,large-font,1,1,1,3,0
ON_FOOT,6,withImages,dark-theme,xLargeCards,large-font,0,0,-1,-1,0
ON_FOOT,0,withImages,light-theme,largeCards,large-font,1,1,1,3,0
IN_VEHICLE,0,withImages,light-theme,xLargeCards,large-font,-1,1,-1,-1,0
IN_VEHICLE,0,withImages,dark-theme,xLargeCards,large-font,0,1,-1,0,0
STILL,0,withImages,light-theme,largeCards,large-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
ON_FOOT,9365,withImages,light-theme,xLargeCards,small-font,2,2,2,6,1
ON_FOOT,5189,withImages,light-theme,xLargeCards,small-font,2,2,2,6,1
STILL,6390,withImages,light-theme,xLargeCards,large-font,2,2,2,6,1
ON_FOOT,11763,withImages,light-theme,xLargeCards,large-font,2,2,2,6,1
ON_FOOT,6274,withImages,light-theme,xLargeCards,large-font,2,2,2,6,1
ON_FOOT,9403,withImages,light-theme,xLargeCards,large-font,2,2,2,6,1
ON_FOOT,12858,withImages,light-theme,xLargeCards,small-font,2,2,2,6,1
STILL,81,withImages,light-theme,largeCards,large-font,2,2,2,6,1
STILL,85,withImages,light-theme,largeCards,large-font,2,2,2,6,1
STILL,80,withImages,light-theme,xLargeCards,small-font,2,2,2,6,1
STILL,11,withImages,light-theme,xLargeCards,small-font,1,1,1,3,0
STILL,7,withImages,dark-theme,largeCards,small-font,1,0,0,1,0
STILL,7,withImages,dark-theme,largeCards,small-font,0,0,0,0,0
STILL,8,withImages,dark-theme,largeCards,small-font,0,0,0,0,0
STILL,8,withImages,dark-theme,xLargeCards,large-font,1,0,0,1,0
STILL,8,withImages,dark-theme,xLargeCards,small-font,1,1,0,2,0
STILL,0,withImages,dark-theme,xLargeCards,large-font,2,2,2,6,1
STILL,0,withImages,dark-theme,xLargeCards,large-font,2,2,2,6,1
STILL,0,withImages,light-theme,largeCards,small-font,2,1,1,4,0
STILL,0,withImages,dark-theme,largeCards,small-font,1,1,2,4,0
STILL,0,withImages,dark-theme,xLargeCards,large-font,2,2,2,6,1
STILL,0,withImages,dark-theme,xLargeCards,small-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,large-font,2,1,1,4,0
STILL,0,withImages,dark-theme,xLargeCards,large-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,large-font,1,1,1,3,0
STILL,0,withImages,dark-theme,largeCards,large-font,1,2,2,5,0
STILL,0,withImages,dark-theme,largeCards,small-font,1,1,1,3,0
STILL,0,withImages,dark-theme,xLargeCards,small-font,-1,0,-2,-3,0
STILL,6,withImages,dark-theme,largeCards,large-font,-1,1,1,1,0
STILL,0,withImages,dark-theme,xLargeCards,small-font,1,1,1,3,0
STILL,0,withImages,dark-theme,xLargeCards,small-font,1,2,1,4,0
IN_VEHICLE,0,withImages,light-theme,largeCards,large-font,2,2,2,6,1
STILL,147,withImages,light-theme,xLargeCards,large-font,1,1,2,4,0
STILL,438,withImages,light-theme,largeCards,small-font,2,2,2,6,1
STILL,389,withImages,light-theme,largeCards,small-font,2,2,2,6,1
STILL,1,withImages,dark-theme,largeCards,large-font,0,1,-1,0,0
STILL,0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
ON_FOOT,0,withImages,dark-theme,xLargeCards,large-font,2,2,2,6,1
ON_FOOT,16,withImages,dark-theme,xLargeCards,large-font,2,2,2,6,1
STILL,1,withImages,dark-theme,xLargeCards,large-font,2,2,2,6,1
ON_FOOT,0,withImages,dark-theme,xLargeCards,large-font,2,2,2,6,1
ON_FOOT,2,withImages,dark-theme,xLargeCards,large-font,2,2,2,6,1
ON_FOOT,8,withImages,dark-theme,xLargeCards,large-font,2,2,2,6,1
STILL,69,withImages,dark-theme,largeCards,large-font,1,1,1,3,0
ON_FOOT,79,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
STILL,16,withImages,light-theme,largeCards,small-font,1,0,0,1,0
STILL,0,withImages,light-theme,largeCards,large-font,2,2,2,6,1
STILL,0,withImages,light-theme,largeCards,large-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
STILL,0,withImages,dark-theme,largeCards,large-font,2,2,2,6,1
STILL,102,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
STILL,86,withImages,dark-theme,largeCards,small-font,2,2,2,6,1
STILL,86,withImages,dark-theme,largeCards,large-font,2,2,1,5,0
STILL,75,withImages,light-theme,xLargeCards,large-font,2,2,2,6,1
STILL,77,withImages,light-theme,xLargeCards,large-font,2,2,2,6,1
STILL,59,withImages,light-theme,largeCards,large-font,2,2,2,6,1
STILL,108,withImages,light-theme,largeCards,large-font,2,2,2,6,1
STILL,50,withImages,dark-theme,xLargeCards,large-font,1,2,1,4,0
STILL,49,withImages,dark-theme,xLargeCards,large-font,1,1,1,3,0
STILL,68,withImages,dark-theme,xLargeCards,large-font,0,1,1,2,0
IN_VEHICLE,58,withImages,light-theme,xLargeCards,large-font,2,1,2,5,0
IN_VEHICLE,95,withImages,light-theme,xLargeCards,large-font,1,2,2,5,0
IN_VEHICLE,72,withImages,dark-theme,xLargeCards,large-font,1,1,1,3,0
IN_VEHICLE,61,withImages,dark-theme,xLargeCards,large-font,1,2,1,4,0
STILL,62,withImages,light-theme,xLargeCards,large-font,2,2,1,5,0
IN_VEHICLE,62,withImages,light-theme,xLargeCards,large-font,2,1,2,5,0
IN_VEHICLE,117,withImages,light-theme,xLargeCards,large-font,2,2,2,6,1
ON_FOOT,218,withImages,light-theme,xLargeCards,small-font,1,2,2,5,0
STILL,184,withImages,light-theme,xLargeCards,small-font,1,2,1,4,0
IN_VEHICLE,888,withImages,light-theme,largeCards,small-font,2,2,2,6,1
STILL,620,withImages,light-theme,largeCards,small-font,2,2,2,6,1
ON_FOOT,681,withImages,light-theme,largeCards,large-font,2,2,2,6,1
STILL,257,withImages,light-theme,largeCards,large-font,2,2,2,6,1
ON_FOOT,2659,withImages,light-theme,largeCards,large-font,2,2,2,6,1
STILL,229,withImages,light-theme,largeCards,small-font,2,2,2,6,1
ON_FOOT,348,withImages,light-theme,largeCards,small-font,2,2,1,5,0
STILL,790,withImages,light-theme,largeCards,small-font,1,1,1,3,0
ON_FOOT,2443,withImages,light-theme,largeCards,small-font,1,1,1,3,0
STILL,13,withImages,light-theme,xLargeCards,large-font,1,0,1,2,0
STILL,13,withImages,light-theme,xLargeCards,large-font,0,1,-1,0,0
STILL,13,withImages,light-theme,largeCards,large-font,1,1,1,3,0
