user_activity,environmental_brightness,screen_brightness,time_of_day,internet_speed, battery_level,images,theme, layout,font_size,reference, readability,informativness
STILL,5,79,17,2,93,withImages,dark-theme,largeCards,small-font,1,1,1
STILL,5,79,17,2,93,withImages,dark-theme,largeCards,small-font,1,1,1
STILL,5,79,17,2,93,withImages,dark-theme,gridView,small-font,1,2,1
STILL,5,79,17,2,92,withImages,dark-theme,gridView,small-font,2,2,1
STILL,5,79,17,2,92,withImages,dark-theme,largeCards,large-font,1,2,1
STILL,5,79,17,2,92,withImages,dark-theme,largeCards,large-font,1,2,1
STILL,5,79,17,2,92,withImages,dark-theme,largeCards,large-font,1,2,1
ON_FOOT,30,4,18,1,94,withImages,light-theme,largeCards,small-font,2,2,2
ON_FOOT,30,4,18,1,94,noImages,light-theme,largeCards,small-font,1,1,2
STILL,8,79,8,2,51,withImages,dark-theme,xLargeCards,small-font,2,2,2
STILL,8,79,8,2,50,withImages,dark-theme,xLargeCards,small-font,2,2,2
STILL,8,79,8,2,50,withImages,dark-theme,gridView,small-font,1,1,1
STILL,206,79,10,2,24,withImages,dark-theme,xLargeCards,small-font,1,2,1
STILL,223,79,10,2,24,withImages,dark-theme,xLargeCards,small-font,1,2,2
STILL,182,79,10,2,23,withImages,light-theme,xLargeCards,large-font,2,2,2
STILL,194,79,12,2,16,withImages,light-theme,xLargeCards,small-font,2,2,2
STILL,97,79,15,2,13,withImages,light-theme,xLargeCards,large-font,2,2,2
STILL,102,79,15,2,13,withImages,light-theme,xLargeCards,large-font,2,2,2
STILL,90,79,15,2,14,withImages,light-theme,xLargeCards,large-font,2,2,2
STILL,0,79,19,2,100,withImages,dark-theme,xLargeCards,small-font,2,2,2
STILL,0,55,20,2,92,withImages,dark-theme,xLargeCards,large-font,-1,0,0
STILL,0,55,20,2,92,withImages,dark-theme,miniCards,small-font,1,1,1
STILL,0,55,20,2,91,withImages,dark-theme,largeCards,large-font,-1,1,-1
ON_FOOT,13,103,0,1,83,withImages,dark-theme,xLargeCards,large-font,2,2,2
ON_FOOT,3,103,0,1,83,withImages,dark-theme,xLargeCards,large-font,2,2,2
ON_FOOT,6,103,0,1,83,withImages,light-theme,largeCards,small-font,2,0,0
ON_FOOT,0,103,1,1,81,withImages,dark-theme,xLargeCards,large-font,2,2,2
ON_FOOT,0,103,1,1,81,withImages,dark-theme,xLargeCards,large-font,2,2,2
STILL,0,103,1,1,80,withImages,dark-theme,largeCards,small-font,1,1,1
STILL,0,103,1,1,79,withImages,dark-theme,largeCards,small-font,1,1,2
STILL,0,103,1,1,79,withImages,dark-theme,xLargeCards,small-font,1,1,1
STILL,222,79,11,2,52,withImages,light-theme,xLargeCards,small-font,2,2,2
STILL,208,79,11,2,52,withImages,light-theme,xLargeCards,small-font,2,2,2
STILL,94,79,11,2,52,noImages,light-theme,xLargeCards,large-font,-2,-2,-2
STILL,70,79,11,2,52,noImages,light-theme,xLargeCards,large-font,-2,-2,-1
STILL,70,79,11,2,52,withImages,light-theme,xLargeCards,large-font,0,1,0
ON_FOOT,12075,103,12,1,32,withImages,light-theme,miniCards,small-font,2,2,2
STILL,1,125,13,2,87,withImages,dark-theme,miniCards,large-font,1,1,2
STILL,26,103,14,1,18,withImages,light-theme,largeCards,small-font,2,2,2
STILL,26,103,14,1,17,withImages,light-theme,largeCards,small-font,2,2,2
STILL,26,103,14,1,17,withImages,light-theme,largeCards,large-font,2,2,2
STILL,24,103,14,1,17,withImages,light-theme,miniCards,large-font,1,2,0
STILL,26,103,14,1,17,withImages,light-theme,miniCards,large-font,2,1,0
STILL,12,125,15,1,83,withImages,dark-theme,xLargeCards,large-font,1,1,2
STILL,11,125,15,1,83,withImages,light-theme,miniCards,large-font,2,2,1
STILL,7,125,15,1,81,withImages,light-theme,gridView,small-font,1,0,1
STILL,0,125,15,1,77,withImages,dark-theme,xLargeCards,large-font,1,1,1
STILL,0,125,15,1,76,withImages,light-theme,miniCards,large-font,2,2,2
STILL,0,125,15,1,75,withImages,light-theme,miniCards,large-font,2,2,2
STILL,3,125,16,1,71,withImages,dark-theme,xLargeCards,large-font,1,1,1
STILL,4,125,16,1,71,withImages,dark-theme,miniCards,large-font,2,2,2
STILL,51,230,16,0,19,withImages,dark-theme,xLargeCards,small-font,2,1,2
IN_VEHICLE,19,137,17,2,96,withImages,light-theme,largeCards,large-font,2,1,2
IN_VEHICLE,19,137,17,2,95,withImages,light-theme,gridView,small-font,-1,-2,-1
ON_FOOT,13,137,17,2,95,withImages,light-theme,miniCards,large-font,1,1,1
IN_VEHICLE,13,137,17,2,95,withImages,light-theme,xLargeCards,large-font,-1,0,0
STILL,17,103,17,1,62,withImages,light-theme,largeCards,large-font,2,2,2
STILL,16,103,17,1,62,withImages,light-theme,largeCards,large-font,2,2,2
STILL,15,103,17,1,62,withImages,light-theme,miniCards,small-font,1,0,1
STILL,22,103,17,1,61,withImages,light-theme,gridView,small-font,1,-1,-1
STILL,69,125,18,1,65,withImages,light-theme,largeCards,large-font,1,2,2
STILL,104,230,18,1,16,withImages,dark-theme,xLargeCards,large-font,2,2,1
ON_FOOT,0,125,18,2,61,withImages,light-theme,gridView,small-font,-1,1,2
ON_FOOT,0,125,18,2,60,withImages,dark-theme,xLargeCards,large-font,2,1,2
ON_FOOT,19,137,18,2,82,withImages,light-theme,largeCards,small-font,-1,-1,-2
IN_VEHICLE,13,137,18,2,81,withImages,light-theme,gridView,small-font,0,-2,-2
IN_VEHICLE,13,137,18,2,81,withImages,light-theme,miniCards,small-font,1,0,-1
IN_VEHICLE,6,137,18,2,80,withImages,light-theme,xLargeCards,small-font,0,1,-1
STILL,0,125,23,2,55,withImages,light-theme,miniCards,large-font,1,2,2
STILL,0,125,23,1,55,withImages,light-theme,miniCards,large-font,1,1,1
STILL,0,125,23,1,54,withImages,light-theme,xLargeCards,small-font,-1,-1,1
STILL,0,125,23,2,54,withImages,dark-theme,xLargeCards,large-font,2,1,2
STILL,0,103,2,1,44,withImages,dark-theme,miniCards,small-font,1,1,1
STILL,0,103,2,1,44,withImages,dark-theme,miniCards,small-font,1,1,2
STILL,0,103,2,1,43,withImages,dark-theme,gridView,small-font,-1,-1,0
STILL,0,103,2,2,43,withImages,dark-theme,miniCards,large-font,1,2,2
STILL,0,103,2,2,42,withImages,dark-theme,gridView,small-font,-1,-1,-1
STILL,0,103,2,2,42,withImages,dark-theme,xLargeCards,small-font,2,2,1
STILL,0,103,2,1,42,withImages,dark-theme,xLargeCards,small-font,2,2,2
STILL,8,79,9,2,31,withImages,light-theme,gridView,small-font,1,2,2
STILL,8,79,9,2,31,withImages,light-theme,gridView,small-font,2,1,2
STILL,41,78,10,2,93,withImages,dark-theme,miniCards,small-font,1,2,2
STILL,4,125,11,1,45,noImages,light-theme,largeCards,small-font,-1,0,1
STILL,4,125,11,1,45,withImages,light-theme,largeCards,large-font,2,2,2
STILL,51,230,16,1,99,withImages,light-theme,largeCards,small-font,2,1,1
STILL,32,230,16,1,98,withImages,light-theme,largeCards,large-font,2,2,2
STILL,21,230,16,1,97,withImages,dark-theme,largeCards,large-font,2,2,1
STILL,53,103,16,1,98,withImages,light-theme,largeCards,small-font,2,2,2
STILL,55,103,16,1,97,withImages,light-theme,largeCards,small-font,2,2,2
STILL,55,103,16,1,97,withImages,light-theme,gridView,small-font,0,-1,-1
STILL,53,103,16,1,97,withImages,light-theme,miniCards,small-font,1,2,2
STILL,53,103,16,2,97,withImages,light-theme,miniCards,small-font,1,1,1
STILL,2,103,17,2,88,withImages,dark-theme,miniCards,small-font,1,2,2
STILL,2,103,17,1,88,withImages,dark-theme,miniCards,small-font,1,2,2
STILL,14,230,19,1,94,withImages,light-theme,xLargeCards,large-font,2,1,2
STILL,65,125,20,1,94,withImages,dark-theme,gridView,small-font,-1,-1,1
STILL,38,125,21,1,92,withImages,dark-theme,largeCards,large-font,1,1,2
STILL,62,125,21,1,84,withImages,light-theme,miniCards,large-font,1,1,1
STILL,15,103,1,1,57,withImages,light-theme,miniCards,small-font,1,1,1
STILL,14,103,1,1,57,withImages,light-theme,miniCards,large-font,1,2,2
STILL,16,103,1,1,57,withImages,light-theme,xLargeCards,large-font,2,2,2
STILL,17,103,1,1,56,withImages,light-theme,xLargeCards,large-font,2,2,2
STILL,27,103,1,1,56,withImages,light-theme,largeCards,small-font,1,1,1
STILL,17,103,1,1,56,withImages,light-theme,largeCards,small-font,1,1,1
STILL,0,103,1,1,55,withImages,dark-theme,xLargeCards,small-font,2,1,1
STILL,0,103,1,1,55,withImages,dark-theme,xLargeCards,large-font,2,2,1
STILL,0,103,1,1,55,withImages,dark-theme,miniCards,large-font,1,1,2
STILL,0,103,1,2,55,withImages,dark-theme,miniCards,large-font,2,2,1
STILL,9,230,5,1,88,withImages,dark-theme,largeCards,large-font,1,1,2
STILL,26,230,5,1,88,withImages,dark-theme,largeCards,large-font,1,2,1
STILL,15,230,5,1,88,withImages,light-theme,xLargeCards,small-font,2,2,2
STILL,14,230,5,0,87,withImages,light-theme,xLargeCards,small-font,1,1,2
STILL,11,230,5,1,87,withImages,light-theme,xLargeCards,large-font,2,2,1
STILL,16,230,5,1,87,withImages,light-theme,xLargeCards,large-font,2,2,2
STILL,13,230,5,1,86,withImages,dark-theme,largeCards,large-font,2,2,2
STILL,12,79,9,2,55,withImages,light-theme,largeCards,small-font,1,2,2
STILL,10,79,9,2,55,withImages,light-theme,gridView,small-font,-1,0,0
STILL,13,79,9,2,55,withImages,light-theme,gridView,small-font,-1,-1,0
STILL,8,79,9,2,55,withImages,light-theme,gridView,small-font,-1,0,0
STILL,30,9,9,1,83,withImages,light-theme,largeCards,large-font,2,2,2
STILL,2,125,10,1,69,withImages,dark-theme,xLargeCards,large-font,1,1,2
ON_FOOT,2,125,10,1,69,withImages,dark-theme,xLargeCards,large-font,2,2,2
STILL,0,103,10,1,42,withImages,dark-theme,largeCards,large-font,2,2,1
STILL,0,103,10,1,42,withImages,dark-theme,largeCards,large-font,2,2,2
STILL,0,103,10,2,41,withImages,dark-theme,miniCards,large-font,1,1,2
STILL,0,103,10,2,41,withImages,dark-theme,miniCards,large-font,1,2,2
STILL,0,103,10,1,41,withImages,dark-theme,largeCards,small-font,1,2,2
STILL,0,103,10,2,41,withImages,dark-theme,largeCards,small-font,1,2,2
STILL,0,103,10,2,41,withImages,dark-theme,largeCards,large-font,2,2,1
STILL,3,125,10,1,67,withImages,light-theme,largeCards,large-font,2,2,2
STILL,2,125,10,1,67,withImages,light-theme,largeCards,large-font,2,2,2
STILL,3,125,10,1,64,withImages,dark-theme,largeCards,large-font,2,2,2
STILL,7,103,11,1,20,withImages,light-theme,largeCards,small-font,2,1,2
IN_VEHICLE,74,79,13,2,57,withImages,light-theme,largeCards,small-font,1,1,1
ON_FOOT,313,79,13,2,57,withImages,light-theme,largeCards,small-font,1,1,2
ON_FOOT,361,79,13,2,56,withImages,dark-theme,miniCards,large-font,-1,-2,-1
ON_FOOT,334,79,13,2,56,withImages,dark-theme,miniCards,large-font,-2,0,-1
ON_FOOT,304,79,13,2,56,withImages,light-theme,miniCards,large-font,0,0,1
STILL,392,79,13,2,56,withImages,light-theme,miniCards,large-font,0,0,1
IN_VEHICLE,156,79,13,2,56,noImages,dark-theme,largeCards,small-font,-2,-2,-1
STILL,222,79,13,2,56,noImages,dark-theme,largeCards,small-font,-2,-1,-1
ON_FOOT,335,79,13,2,56,withImages,dark-theme,xLargeCards,large-font,1,1,1
ON_FOOT,153,79,13,2,56,withImages,dark-theme,xLargeCards,large-font,0,0,1
ON_FOOT,147,79,13,2,56,noImages,light-theme,xLargeCards,large-font,-2,-2,-2
IN_VEHICLE,116,79,13,2,56,noImages,light-theme,xLargeCards,large-font,-2,-2,-2
IN_VEHICLE,155,79,13,2,55,withImages,light-theme,largeCards,small-font,0,0,0
IN_VEHICLE,324,79,13,2,55,withImages,light-theme,largeCards,small-font,0,0,1
ON_FOOT,7960,103,13,1,57,withImages,light-theme,largeCards,small-font,2,0,0
IN_VEHICLE,111,79,13,2,55,noImages,dark-theme,xLargeCards,small-font,-2,-1,-2
STILL,109,79,13,2,55,noImages,dark-theme,xLargeCards,small-font,-2,-2,-2
ON_FOOT,74,79,13,2,55,withImages,dark-theme,miniCards,small-font,-1,0,0
ON_FOOT,7375,103,13,1,57,withImages,light-theme,xLargeCards,small-font,2,2,2
IN_VEHICLE,206,79,13,2,55,withImages,dark-theme,miniCards,small-font,0,0,-1
IN_VEHICLE,111,79,13,2,55,withImages,light-theme,largeCards,small-font,1,1,1
ON_FOOT,355,103,13,1,57,withImages,light-theme,xLargeCards,small-font,2,2,2
ON_FOOT,217,79,13,2,55,withImages,light-theme,largeCards,small-font,1,1,1
STILL,421,103,13,1,56,withImages,light-theme,largeCards,small-font,2,2,2
IN_VEHICLE,101,79,13,2,55,noImages,light-theme,xLargeCards,small-font,-1,-1,-1
STILL,394,103,13,1,56,withImages,light-theme,largeCards,small-font,2,2,1
ON_FOOT,515,103,13,1,56,withImages,light-theme,largeCards,small-font,2,2,2
STILL,564,103,13,1,56,withImages,light-theme,xLargeCards,small-font,2,1,1
STILL,418,103,13,1,56,withImages,light-theme,xLargeCards,small-font,1,1,1
STILL,376,103,13,1,56,noImages,light-theme,largeCards,large-font,1,1,1
ON_FOOT,450,103,13,1,55,withImages,light-theme,largeCards,large-font,2,2,2
STILL,5653,135,14,2,52,withImages,light-theme,largeCards,small-font,1,2,2
STILL,12918,135,15,2,51,withImages,light-theme,largeCards,small-font,2,2,2
STILL,2715,103,15,0,43,withImages,light-theme,largeCards,small-font,2,1,1
STILL,17,125,15,1,45,withImages,dark-theme,largeCards,large-font,2,2,2
ON_FOOT,757,103,17,1,33,withImages,light-theme,xLargeCards,small-font,2,2,2
ON_FOOT,765,103,17,1,32,withImages,light-theme,xLargeCards,small-font,2,2,2
STILL,6,135,17,2,43,withImages,dark-theme,largeCards,small-font,0,0,0
STILL,4,135,17,2,43,withImages,dark-theme,largeCards,small-font,0,1,1
STILL,5,135,17,2,43,withImages,dark-theme,miniCards,large-font,1,1,0
STILL,3,103,17,1,26,withImages,dark-theme,miniCards,large-font,1,2,2
STILL,566,103,18,1,22,withImages,light-theme,xLargeCards,small-font,2,2,2
IN_VEHICLE,662,103,18,1,22,withImages,light-theme,xLargeCards,small-font,2,2,2
IN_VEHICLE,704,103,18,1,21,withImages,light-theme,xLargeCards,small-font,2,2,2
ON_FOOT,10,103,18,1,20,withImages,dark-theme,xLargeCards,small-font,2,2,2
ON_FOOT,0,103,18,1,20,withImages,dark-theme,xLargeCards,small-font,2,2,2
STILL,0,230,19,1,96,withImages,dark-theme,xLargeCards,large-font,2,1,2
STILL,57,230,19,1,96,withImages,dark-theme,xLargeCards,large-font,2,1,1
ON_FOOT,13,230,19,1,95,noImages,light-theme,xLargeCards,large-font,2,2,2
STILL,285,32,21,2,73,noImages,light-theme,largeCards,small-font,2,2,2
STILL,270,32,21,2,73,withImages,dark-theme,miniCards,large-font,2,2,2
STILL,255,32,21,2,72,withImages,dark-theme,miniCards,large-font,2,2,2
STILL,110,32,21,1,71,withImages,dark-theme,largeCards,large-font,2,2,2
STILL,285,32,21,2,71,withImages,dark-theme,xLargeCards,large-font,2,2,2
STILL,181,32,21,2,71,withImages,dark-theme,largeCards,large-font,2,2,2
STILL,240,32,21,2,71,withImages,dark-theme,largeCards,large-font,-2,-2,-2
STILL,240,32,21,2,71,withImages,dark-theme,xLargeCards,small-font,-2,-2,-2
STILL,92,125,23,1,49,withImages,light-theme,largeCards,large-font,2,2,2
STILL,60,125,23,1,49,withImages,light-theme,miniCards,large-font,2,1,1
ON_FOOT,0,103,0,1,36,withImages,dark-theme,xLargeCards,large-font,2,2,2
ON_FOOT,0,103,0,1,36,withImages,dark-theme,xLargeCards,large-font,2,2,1
STILL,20,230,4,1,92,withImages,dark-theme,xLargeCards,large-font,1,2,2
STILL,19,230,4,1,91,withImages,dark-theme,xLargeCards,large-font,2,2,2
STILL,48,230,8,1,87,withImages,dark-theme,miniCards,small-font,2,1,2
STILL,81,230,8,1,87,withImages,dark-theme,miniCards,small-font,1,1,1
STILL,21,230,8,1,81,noImages,light-theme,xLargeCards,large-font,2,2,1
STILL,39,230,9,1,76,withImages,dark-theme,miniCards,small-font,2,2,2
STILL,0,103,10,2,20,withImages,dark-theme,largeCards,large-font,2,2,2
STILL,0,103,10,2,19,withImages,dark-theme,largeCards,large-font,2,2,2
STILL,0,103,10,1,18,withImages,dark-theme,largeCards,small-font,2,2,2
STILL,0,103,10,1,18,withImages,dark-theme,largeCards,small-font,2,2,2
STILL,0,103,10,1,18,withImages,dark-theme,largeCards,small-font,2,2,2
STILL,0,103,10,2,18,withImages,dark-theme,largeCards,small-font,2,2,2
STILL,75,230,12,0,61,withImages,dark-theme,largeCards,large-font,1,1,1
STILL,75,230,12,0,61,withImages,dark-theme,largeCards,large-font,2,2,1
STILL,75,230,12,0,60,noImages,dark-theme,largeCards,large-font,1,1,2
STILL,71,230,12,0,60,noImages,dark-theme,largeCards,large-font,2,2,2
STILL,20,125,14,2,70,withImages,light-theme,miniCards,large-font,2,1,1
STILL,2,125,15,1,63,withImages,light-theme,xLargeCards,large-font,2,2,2
ON_FOOT,1,125,15,1,61,withImages,light-theme,xLargeCards,large-font,1,1,1
ON_FOOT,62,125,22,1,35,withImages,dark-theme,miniCards,large-font,2,2,2
ON_FOOT,2,125,12,1,61,withImages,light-theme,miniCards,large-font,2,2,2
ON_FOOT,1,125,15,1,46,withImages,light-theme,miniCards,large-font,2,2,2
STILL,50,125,18,2,36,noImages,light-theme,largeCards,large-font,0,1,1
STILL,184,125,18,2,33,withImages,light-theme,xLargeCards,large-font,2,1,2
STILL,154,125,18,1,33,withImages,light-theme,xLargeCards,large-font,1,2,2
ON_FOOT,115,125,18,1,33,withImages,dark-theme,gridView,small-font,2,2,2
STILL,179,125,18,1,32,withImages,dark-theme,xLargeCards,small-font,1,1,1
STILL,0,135,1,1,67,withImages,dark-theme,largeCards,large-font,2,2,2
STILL,0,135,1,1,67,withImages,dark-theme,largeCards,large-font,2,2,2
STILL,0,135,1,1,67,withImages,dark-theme,largeCards,small-font,2,2,2
STILL,0,135,1,1,67,withImages,dark-theme,largeCards,large-font,2,2,2
STILL,151,230,4,1,62,noImages,dark-theme,xLargeCards,large-font,2,1,2
STILL,150,230,4,1,62,noImages,dark-theme,xLargeCards,large-font,2,1,1
STILL,10,230,4,1,62,withImages,dark-theme,miniCards,large-font,2,1,2
STILL,29,230,4,1,62,withImages,dark-theme,miniCards,large-font,1,1,1
STILL,144,230,4,0,60,noImages,light-theme,largeCards,large-font,2,2,2
STILL,8,125,13,1,63,noImages,light-theme,xLargeCards,large-font,-1,-1,-1
STILL,7,125,13,1,63,noImages,light-theme,xLargeCards,large-font,-1,-1,-1
STILL,8,125,13,1,58,noImages,light-theme,xLargeCards,small-font,-1,-1,-1
ON_FOOT,623,146,17,2,72,withImages,light-theme,xLargeCards,small-font,0,-1,-2
IN_VEHICLE,603,146,17,2,72,withImages,light-theme,miniCards,small-font,0,0,0
IN_VEHICLE,444,146,17,2,72,noImages,light-theme,xLargeCards,small-font,-2,-2,-2
ON_FOOT,378,146,17,2,72,withImages,dark-theme,largeCards,large-font,2,2,2
IN_VEHICLE,451,146,17,2,72,withImages,dark-theme,gridView,small-font,2,1,1
IN_VEHICLE,285,146,17,2,72,withImages,dark-theme,miniCards,large-font,1,1,0
IN_VEHICLE,258,146,17,2,72,withImages,dark-theme,xLargeCards,large-font,-1,0,-1
ON_FOOT,139,146,17,2,72,withImages,dark-theme,largeCards,small-font,1,-1,1
IN_VEHICLE,265,146,17,2,72,withImages,dark-theme,miniCards,small-font,0,-1,1
ON_FOOT,305,146,17,2,72,withImages,dark-theme,xLargeCards,small-font,-1,-1,-1
IN_VEHICLE,26,146,18,2,67,withImages,light-theme,miniCards,small-font,1,-1,0
STILL,33,146,18,2,67,withImages,light-theme,xLargeCards,small-font,-1,-1,-1
ON_FOOT,0,146,18,2,67,withImages,dark-theme,largeCards,large-font,1,1,1
ON_FOOT,0,146,18,2,67,withImages,dark-theme,miniCards,large-font,2,1,2
ON_FOOT,6,146,18,2,66,withImages,dark-theme,xLargeCards,large-font,0,0,-1
ON_FOOT,6,146,18,2,66,noImages,dark-theme,xLargeCards,large-font,-1,1,-1
IN_VEHICLE,0,146,18,2,66,noImages,dark-theme,largeCards,large-font,-1,1,0
ON_FOOT,0,146,18,2,66,withImages,light-theme,largeCards,large-font,1,1,1
ON_FOOT,0,146,18,2,65,withImages,light-theme,gridView,small-font,0,1,0
IN_VEHICLE,0,146,18,2,65,withImages,light-theme,xLargeCards,large-font,-1,1,-1
IN_VEHICLE,0,146,18,2,65,withImages,dark-theme,xLargeCards,large-font,0,1,-1
STILL,0,125,3,1,45,noImages,light-theme,largeCards,small-font,-2,-1,-1
STILL,0,125,3,1,45,withImages,light-theme,largeCards,large-font,2,2,2
STILL,0,135,10,1,82,withImages,dark-theme,largeCards,large-font,2,2,2
STILL,0,135,10,1,81,withImages,dark-theme,largeCards,large-font,2,2,2
STILL,0,135,10,1,81,withImages,dark-theme,largeCards,large-font,2,2,2
STILL,0,135,10,1,81,withImages,dark-theme,largeCards,large-font,2,2,2
STILL,0,135,10,1,81,withImages,dark-theme,largeCards,small-font,2,2,2
STILL,0,135,10,1,81,withImages,dark-theme,largeCards,small-font,2,2,2
ON_FOOT,9365,135,12,1,63,withImages,light-theme,xLargeCards,small-font,2,2,2
ON_FOOT,5189,135,12,1,63,withImages,light-theme,xLargeCards,small-font,2,2,2
STILL,6390,135,12,1,62,withImages,light-theme,xLargeCards,large-font,2,2,2
ON_FOOT,11763,135,12,1,62,withImages,light-theme,xLargeCards,large-font,2,2,2
ON_FOOT,6274,135,12,1,61,withImages,light-theme,xLargeCards,large-font,2,2,2
ON_FOOT,9403,135,12,1,61,withImages,light-theme,xLargeCards,large-font,2,2,2
ON_FOOT,12858,135,12,1,61,withImages,light-theme,xLargeCards,small-font,2,2,2
STILL,75,62,13,2,71,noImages,light-theme,largeCards,large-font,-1,-1,-1
STILL,81,62,13,2,71,withImages,light-theme,largeCards,large-font,2,2,2
STILL,85,62,13,2,70,withImages,light-theme,largeCards,large-font,2,2,2
STILL,60,133,13,2,14,withImages,light-theme,miniCards,small-font,2,2,2
STILL,80,62,13,2,70,withImages,light-theme,xLargeCards,small-font,2,2,2
STILL,20,0,16,2,93,withImages,dark-theme,miniCards,small-font,0,1,1
STILL,11,0,16,2,93,withImages,light-theme,xLargeCards,small-font,1,1,1
STILL,7,0,16,2,93,withImages,dark-theme,largeCards,small-font,1,0,0
STILL,7,0,16,2,93,withImages,dark-theme,largeCards,small-font,0,0,0
STILL,8,0,16,2,94,withImages,dark-theme,largeCards,small-font,0,0,0
